Tarih,Yıl,Ay,Birim,Alış (Forex),Satış (Forex)
2023-11-21,2023,11,Euro (EUR),31.4725,31.5292
2023-11-22,2023,11,Euro (EUR),31.3523,31.4087
2023-11-23,2023,11,Euro (EUR),31.4156,31.4722
2023-11-24,2023,11,Euro (EUR),31.4311,31.4878
2023-11-27,2023,11,Euro (EUR),31.5995,31.6564
2023-11-28,2023,11,Euro (EUR),31.6139,31.6708
2023-11-29,2023,11,Euro (EUR),31.7037,31.7608
2023-11-30,2023,11,Euro (EUR),31.5154,31.5722
2023-12-01,2023,12,Euro (EUR),31.4437,31.5003
2023-12-04,2023,12,Euro (EUR),31.3515,31.408
2023-12-05,2023,12,Euro (EUR),31.2561,31.3125
2023-12-06,2023,12,Euro (EUR),31.1547,31.2108
2023-12-07,2023,12,Euro (EUR),31.1103,31.1663
2023-12-08,2023,12,Euro (EUR),31.1567,31.2129
2023-12-11,2023,12,Euro (EUR),31.1556,31.2118
2023-12-12,2023,12,Euro (EUR),31.2629,31.3192
2023-12-13,2023,12,Euro (EUR),31.2806,31.337
2023-12-14,2023,12,Euro (EUR),31.6038,31.6607
2023-12-15,2023,12,Euro (EUR),31.8017,31.859
2023-12-18,2023,12,Euro (EUR),31.6644,31.7214
2023-12-19,2023,12,Euro (EUR),31.7461,31.8033
2023-12-20,2023,12,Euro (EUR),31.8497,31.9071
2023-12-21,2023,12,Euro (EUR),31.8579,31.9153
2023-12-22,2023,12,Euro (EUR),32.0726,32.1304
2023-12-25,2023,12,Euro (EUR),32.1766,32.2346
2023-12-26,2023,12,Euro (EUR),32.2421,32.3002
2023-12-27,2023,12,Euro (EUR),32.4186,32.477
2023-12-28,2023,12,Euro (EUR),32.6937,32.7526
2023-12-29,2023,12,Euro (EUR),32.5739,32.6326
2024-01-02,2024,1,Euro (EUR),32.6671,32.726
2024-01-03,2024,1,Euro (EUR),32.5431,32.6017
2024-01-04,2024,1,Euro (EUR),32.569,32.6277
2024-01-05,2024,1,Euro (EUR),32.4987,32.5572
2024-01-08,2024,1,Euro (EUR),32.6401,32.6989
2024-01-09,2024,1,Euro (EUR),32.7049,32.7638
2024-01-10,2024,1,Euro (EUR),32.724,32.7829
2024-01-11,2024,1,Euro (EUR),32.88,32.9393
2024-01-12,2024,1,Euro (EUR),32.9124,32.9717
2024-01-15,2024,1,Euro (EUR),32.9036,32.9629
2024-01-16,2024,1,Euro (EUR),32.751,32.81
2024-01-17,2024,1,Euro (EUR),32.6911,32.75
2024-01-18,2024,1,Euro (EUR),32.7618,32.8208
2024-01-19,2024,1,Euro (EUR),32.7771,32.8362
2024-01-22,2024,1,Euro (EUR),32.881,32.9403
2024-01-23,2024,1,Euro (EUR),32.9087,32.968
2024-01-24,2024,1,Euro (EUR),32.8837,32.943
2024-01-25,2024,1,Euro (EUR),32.9166,32.9759
2024-01-26,2024,1,Euro (EUR),32.7904,32.8494
2024-01-29,2024,1,Euro (EUR),32.8013,32.8604
2024-01-30,2024,1,Euro (EUR),32.8144,32.8735
2024-01-31,2024,1,Euro (EUR),32.7884,32.8475
2024-02-01,2024,2,Euro (EUR),32.7217,32.7807
2024-02-02,2024,2,Euro (EUR),33.0537,33.1132
2024-02-05,2024,2,Euro (EUR),32.8052,32.8643
2024-02-06,2024,2,Euro (EUR),32.7691,32.8281
2024-02-07,2024,2,Euro (EUR),32.8771,32.9364
2024-02-08,2024,2,Euro (EUR),32.9071,32.9664
2024-02-09,2024,2,Euro (EUR),32.9634,33.0227
2024-02-12,2024,2,Euro (EUR),33.0244,33.0839
2024-02-13,2024,2,Euro (EUR),33.034,33.0936
2024-02-14,2024,2,Euro (EUR),32.851,32.9102
2024-02-15,2024,2,Euro (EUR),32.9473,33.0067
2024-02-16,2024,2,Euro (EUR),33.0805,33.1401
2024-02-19,2024,2,Euro (EUR),33.2036,33.2634
2024-02-20,2024,2,Euro (EUR),33.264,33.3239
2024-02-21,2024,2,Euro (EUR),33.3931,33.4533
2024-02-22,2024,2,Euro (EUR),33.6051,33.6657
2024-02-23,2024,2,Euro (EUR),33.562,33.6225
2024-02-26,2024,2,Euro (EUR),33.6453,33.706
2024-02-27,2024,2,Euro (EUR),33.7284,33.7892
2024-02-28,2024,2,Euro (EUR),33.6543,33.7149
2024-02-29,2024,2,Euro (EUR),33.7686,33.8294
2024-03-01,2024,3,Euro (EUR),33.7797,33.8406
2024-03-04,2024,3,Euro (EUR),34.0791,34.1405
2024-03-05,2024,3,Euro (EUR),34.2228,34.2845
2024-03-06,2024,3,Euro (EUR),34.4186,34.4806
2024-03-07,2024,3,Euro (EUR),34.6296,34.692
2024-03-08,2024,3,Euro (EUR),34.8478,34.9106
2024-03-11,2024,3,Euro (EUR),34.9442,35.0072
2024-03-12,2024,3,Euro (EUR),34.9675,35.0305
2024-03-13,2024,3,Euro (EUR),35.0183,35.0814
2024-03-14,2024,3,Euro (EUR),35.0739,35.1371
2024-03-15,2024,3,Euro (EUR),34.9733,35.0363
2024-03-18,2024,3,Euro (EUR),35.1355,35.1988
2024-03-19,2024,3,Euro (EUR),35.0236,35.0867
2024-03-20,2024,3,Euro (EUR),35.082,35.1452
2024-03-21,2024,3,Euro (EUR),35.2734,35.337
2024-03-22,2024,3,Euro (EUR),34.5875,34.6498
2024-03-25,2024,3,Euro (EUR),34.6819,34.7444
2024-03-26,2024,3,Euro (EUR),34.8336,34.8963
2024-03-27,2024,3,Euro (EUR),34.8285,34.8912
2024-03-28,2024,3,Euro (EUR),34.8189,34.8816
2024-03-29,2024,3,Euro (EUR),34.8023,34.865
2024-04-01,2024,4,Euro (EUR),34.8992,34.9621
2024-04-02,2024,4,Euro (EUR),34.5081,34.5703
2024-04-03,2024,4,Euro (EUR),34.4097,34.4717
2024-04-04,2024,4,Euro (EUR),34.5629,34.6252
2024-04-05,2024,4,Euro (EUR),34.5892,34.6515
2024-04-08,2024,4,Euro (EUR),34.659,34.7215
2024-04-15,2024,4,Euro (EUR),34.4475,34.5096
2024-04-16,2024,4,Euro (EUR),34.4266,34.4887
2024-04-17,2024,4,Euro (EUR),34.5266,34.5888
2024-04-18,2024,4,Euro (EUR),34.6559,34.7183
2024-04-19,2024,4,Euro (EUR),34.6254,34.6878
2024-04-22,2024,4,Euro (EUR),34.6207,34.683
2024-04-24,2024,4,Euro (EUR),34.7084,34.771
2024-04-25,2024,4,Euro (EUR),34.8231,34.8859
2024-04-26,2024,4,Euro (EUR),34.8255,34.8882
2024-04-29,2024,4,Euro (EUR),34.6487,34.7111
2024-04-30,2024,4,Euro (EUR),34.623,34.6854
2024-05-02,2024,5,Euro (EUR),34.6073,34.6697
2024-05-03,2024,5,Euro (EUR),34.6335,34.6959
2024-05-06,2024,5,Euro (EUR),34.6993,34.7618
2024-05-07,2024,5,Euro (EUR),34.6708,34.7333
2024-05-08,2024,5,Euro (EUR),34.6075,34.6698
2024-05-09,2024,5,Euro (EUR),34.5334,34.5957
2024-05-10,2024,5,Euro (EUR),34.66,34.7224
2024-05-13,2024,5,Euro (EUR),34.6591,34.7216
2024-05-14,2024,5,Euro (EUR),34.7388,34.8014
2024-05-15,2024,5,Euro (EUR),34.8985,34.9614
2024-05-16,2024,5,Euro (EUR),34.9622,35.0252
2024-05-17,2024,5,Euro (EUR),34.9265,34.9894
2024-05-20,2024,5,Euro (EUR),34.9565,35.0195
2024-05-21,2024,5,Euro (EUR),34.9438,35.0067
2024-05-22,2024,5,Euro (EUR),34.8394,34.9022
2024-05-23,2024,5,Euro (EUR),34.8413,34.904
2024-05-24,2024,5,Euro (EUR),34.8089,34.8717
2024-05-27,2024,5,Euro (EUR),34.882,34.9449
2024-05-28,2024,5,Euro (EUR),34.9383,35.0013
2024-05-29,2024,5,Euro (EUR),34.918,34.9809
2024-05-30,2024,5,Euro (EUR),34.8654,34.9282
2024-05-31,2024,5,Euro (EUR),34.8283,34.891
2024-06-03,2024,6,Euro (EUR),34.8607,34.9235
2024-06-04,2024,6,Euro (EUR),35.1019,35.1652
2024-06-05,2024,6,Euro (EUR),35.2869,35.3504
2024-06-06,2024,6,Euro (EUR),34.9997,35.0628
2024-06-07,2024,6,Euro (EUR),35.0641,35.1273
2024-06-10,2024,6,Euro (EUR),34.8022,34.8649
2024-06-11,2024,6,Euro (EUR),34.7345,34.7971
2024-06-12,2024,6,Euro (EUR),34.7349,34.7975
2024-06-13,2024,6,Euro (EUR),34.8106,34.8734
2024-06-14,2024,6,Euro (EUR),34.7319,34.7944
2024-06-20,2024,6,Euro (EUR),34.929,34.9919
2024-06-21,2024,6,Euro (EUR),35.0464,35.1096
2024-06-24,2024,6,Euro (EUR),35.1702,35.2336
2024-06-25,2024,6,Euro (EUR),35.2869,35.3505
2024-06-26,2024,6,Euro (EUR),35.1801,35.2435
2024-06-27,2024,6,Euro (EUR),35.1212,35.1845
2024-06-28,2024,6,Euro (EUR),35.1284,35.1917
2024-07-01,2024,7,Euro (EUR),35.0939,35.1571
2024-07-02,2024,7,Euro (EUR),34.9759,35.0389
2024-07-03,2024,7,Euro (EUR),34.9499,35.0129
2024-07-04,2024,7,Euro (EUR),35.0933,35.1566
2024-07-05,2024,7,Euro (EUR),35.3205,35.3841
2024-07-08,2024,7,Euro (EUR),35.3604,35.4241
2024-07-09,2024,7,Euro (EUR),35.4241,35.488
2024-07-10,2024,7,Euro (EUR),35.5812,35.6453
2024-07-11,2024,7,Euro (EUR),35.6229,35.6871
2024-07-12,2024,7,Euro (EUR),35.8082,35.8727
2024-07-16,2024,7,Euro (EUR),35.9882,36.053
2024-07-17,2024,7,Euro (EUR),36.0984,36.1634
2024-07-18,2024,7,Euro (EUR),36.1143,36.1794
2024-07-19,2024,7,Euro (EUR),35.9251,35.9898
2024-07-22,2024,7,Euro (EUR),35.8679,35.9325
2024-07-23,2024,7,Euro (EUR),35.7444,35.8088
2024-07-24,2024,7,Euro (EUR),35.5656,35.6297
2024-07-25,2024,7,Euro (EUR),35.7759,35.8404
2024-07-26,2024,7,Euro (EUR),35.7732,35.8377
2024-07-29,2024,7,Euro (EUR),35.711,35.7754
2024-07-30,2024,7,Euro (EUR),35.7612,35.8256
2024-07-31,2024,7,Euro (EUR),35.8145,35.879
2024-08-01,2024,8,Euro (EUR),35.7005,35.7648
2024-08-02,2024,8,Euro (EUR),35.7726,35.8371
2024-08-05,2024,8,Euro (EUR),36.3998,36.4654
2024-08-06,2024,8,Euro (EUR),36.4783,36.544
2024-08-07,2024,8,Euro (EUR),36.5731,36.639
2024-08-08,2024,8,Euro (EUR),36.5702,36.6361
2024-08-09,2024,8,Euro (EUR),36.5382,36.604
2024-08-12,2024,8,Euro (EUR),36.5777,36.6436
2024-08-13,2024,8,Euro (EUR),36.5968,36.6627
2024-08-14,2024,8,Euro (EUR),36.886,36.9525
2024-08-15,2024,8,Euro (EUR),36.9715,37.0381
2024-08-16,2024,8,Euro (EUR),36.9281,36.9946
2024-08-19,2024,8,Euro (EUR),37.1497,37.2166
2024-08-20,2024,8,Euro (EUR),37.3963,37.4637
2024-08-21,2024,8,Euro (EUR),37.6305,37.6983
2024-08-22,2024,8,Euro (EUR),37.7158,37.7838
2024-08-23,2024,8,Euro (EUR),37.6852,37.7531
2024-08-26,2024,8,Euro (EUR),37.9171,37.9854
2024-08-27,2024,8,Euro (EUR),37.9118,37.9801
2024-08-28,2024,8,Euro (EUR),37.8261,37.8943
2024-08-29,2024,8,Euro (EUR),37.6723,37.7402
2024-09-02,2024,9,Euro (EUR),37.5346,37.6022
2024-09-03,2024,9,Euro (EUR),37.4322,37.4996
2024-09-04,2024,9,Euro (EUR),37.5501,37.6177
2024-09-05,2024,9,Euro (EUR),37.616,37.6837
2024-09-06,2024,9,Euro (EUR),37.6683,37.7362
2024-09-09,2024,9,Euro (EUR),37.5419,37.6095
2024-09-10,2024,9,Euro (EUR),37.5231,37.5907
2024-09-11,2024,9,Euro (EUR),37.4837,37.5513
2024-09-12,2024,9,Euro (EUR),37.3343,37.4015
2024-09-13,2024,9,Euro (EUR),37.4964,37.564
2024-09-16,2024,9,Euro (EUR),37.6852,37.7531
2024-09-17,2024,9,Euro (EUR),37.8255,37.8936
2024-09-18,2024,9,Euro (EUR),37.8693,37.9375
2024-09-19,2024,9,Euro (EUR),37.9182,37.9865
2024-09-20,2024,9,Euro (EUR),37.9058,37.974
2024-09-23,2024,9,Euro (EUR),37.8615,37.9298
2024-09-24,2024,9,Euro (EUR),37.9305,37.9988
2024-09-25,2024,9,Euro (EUR),38.1426,38.2113
2024-09-26,2024,9,Euro (EUR),38.0092,38.0777
2024-09-27,2024,9,Euro (EUR),38.018,38.0865
2024-09-30,2024,9,Euro (EUR),38.1714,38.2402
2024-10-01,2024,10,Euro (EUR),37.889,37.9573
2024-10-02,2024,10,Euro (EUR),37.808,37.8761
2024-10-03,2024,10,Euro (EUR),37.6544,37.7222
2024-10-04,2024,10,Euro (EUR),37.6516,37.7195
2024-10-07,2024,10,Euro (EUR),37.4998,37.5673
2024-10-08,2024,10,Euro (EUR),37.5932,37.6609
2024-10-09,2024,10,Euro (EUR),37.4829,37.5505
2024-10-10,2024,10,Euro (EUR),37.3463,37.4136
2024-10-11,2024,10,Euro (EUR),37.373,37.4403
2024-10-14,2024,10,Euro (EUR),37.3644,37.4317
2024-10-15,2024,10,Euro (EUR),37.2908,37.358
2024-10-16,2024,10,Euro (EUR),37.1938,37.2608
2024-10-17,2024,10,Euro (EUR),37.0392,37.1059
2024-10-18,2024,10,Euro (EUR),37.0621,37.1289
2024-10-21,2024,10,Euro (EUR),37.0871,37.1539
2024-10-22,2024,10,Euro (EUR),37.0035,37.0702
2024-10-23,2024,10,Euro (EUR),36.8722,36.9386
2024-10-24,2024,10,Euro (EUR),36.9095,36.976
2024-10-25,2024,10,Euro (EUR),36.9993,37.066
2024-10-30,2024,10,Euro (EUR),37.0474,37.1142
2024-10-31,2024,10,Euro (EUR),37.1235,37.1904
2024-11-01,2024,11,Euro (EUR),37.1848,37.2518
2024-11-04,2024,11,Euro (EUR),37.3528,37.4201
2024-11-05,2024,11,Euro (EUR),37.3363,37.4035
2024-11-06,2024,11,Euro (EUR),36.7154,36.7815
2024-11-07,2024,11,Euro (EUR),36.7576,36.8238
2024-11-08,2024,11,Euro (EUR),36.9321,36.9987
2024-11-11,2024,11,Euro (EUR),36.6384,36.7044
2024-11-12,2024,11,Euro (EUR),36.4642,36.5299
2024-11-13,2024,11,Euro (EUR),36.4323,36.4979
2024-11-14,2024,11,Euro (EUR),36.1255,36.1906
2024-11-15,2024,11,Euro (EUR),36.2766,36.3419
2024-11-18,2024,11,Euro (EUR),36.3227,36.3881
2024-11-19,2024,11,Euro (EUR),36.4813,36.5471
2024-11-20,2024,11,Euro (EUR),36.3826,36.4482
2024-11-21,2024,11,Euro (EUR),36.2759,36.3412
2024-11-22,2024,11,Euro (EUR),35.9849,36.0497
2024-11-25,2024,11,Euro (EUR),36.1612,36.2263
2024-11-26,2024,11,Euro (EUR),36.2891,36.3545
2024-11-27,2024,11,Euro (EUR),36.3371,36.4026
2024-11-28,2024,11,Euro (EUR),36.4509,36.5166
2024-11-29,2024,11,Euro (EUR),36.5473,36.6131
2024-12-02,2024,12,Euro (EUR),36.4313,36.497
2024-12-03,2024,12,Euro (EUR),36.4494,36.5151
2024-12-04,2024,12,Euro (EUR),36.439,36.5046
2024-12-05,2024,12,Euro (EUR),36.5136,36.5794
2024-12-06,2024,12,Euro (EUR),36.7174,36.7836
2024-12-09,2024,12,Euro (EUR),36.715,36.7811
2024-12-10,2024,12,Euro (EUR),36.6602,36.7262
2024-12-11,2024,12,Euro (EUR),36.5548,36.6207
2024-12-12,2024,12,Euro (EUR),36.5873,36.6532
2024-12-13,2024,12,Euro (EUR),36.5216,36.5874
2024-12-16,2024,12,Euro (EUR),36.6498,36.7158
2024-12-17,2024,12,Euro (EUR),36.6424,36.7084
2024-12-18,2024,12,Euro (EUR),36.6959,36.762
2024-12-19,2024,12,Euro (EUR),36.4134,36.479
2024-12-20,2024,12,Euro (EUR),36.4162,36.4818
2024-12-23,2024,12,Euro (EUR),36.5473,36.6132
2024-12-24,2024,12,Euro (EUR),36.5693,36.6351
2024-12-25,2024,12,Euro (EUR),36.6592,36.7252
2024-12-26,2024,12,Euro (EUR),36.6076,36.6736
2024-12-27,2024,12,Euro (EUR),36.6134,36.6794
2024-12-30,2024,12,Euro (EUR),36.7429,36.8091
2024-12-31,2024,12,Euro (EUR),36.7362,36.8024
2025-01-02,2025,1,Euro (EUR),36.4804,36.5462
2025-01-03,2025,1,Euro (EUR),36.2762,36.3416
2025-01-06,2025,1,Euro (EUR),36.5264,36.5922
2025-01-07,2025,1,Euro (EUR),36.7501,36.8163
2025-01-08,2025,1,Euro (EUR),36.459,36.5247
2025-01-09,2025,1,Euro (EUR),36.3567,36.4222
2025-01-10,2025,1,Euro (EUR),36.3871,36.4527
2025-01-13,2025,1,Euro (EUR),36.1555,36.2207
2025-01-14,2025,1,Euro (EUR),36.3401,36.4055
2025-01-15,2025,1,Euro (EUR),36.5032,36.5689
2025-01-16,2025,1,Euro (EUR),36.4274,36.493
2025-01-17,2025,1,Euro (EUR),36.4604,36.5261
2025-01-20,2025,1,Euro (EUR),36.6347,36.7007
2025-01-21,2025,1,Euro (EUR),36.832,36.8984
2025-01-22,2025,1,Euro (EUR),37.1109,37.1778
2025-01-23,2025,1,Euro (EUR),37.0294,37.0961
2025-01-24,2025,1,Euro (EUR),37.3073,37.3745
2025-01-27,2025,1,Euro (EUR),37.3915,37.4589
2025-01-28,2025,1,Euro (EUR),37.2335,37.3005
2025-01-29,2025,1,Euro (EUR),37.1865,37.2534
2025-01-30,2025,1,Euro (EUR),37.1844,37.2514
2025-01-31,2025,1,Euro (EUR),37.1461,37.213
2025-02-03,2025,2,Euro (EUR),36.763,36.8292
2025-02-04,2025,2,Euro (EUR),37.0822,37.149
2025-02-05,2025,2,Euro (EUR),37.3222,37.3894
2025-02-06,2025,2,Euro (EUR),37.1584,37.2254
2025-02-07,2025,2,Euro (EUR),37.2933,37.3605
2025-02-10,2025,2,Euro (EUR),37.1016,37.1685
2025-02-11,2025,2,Euro (EUR),37.0881,37.155
2025-02-12,2025,2,Euro (EUR),37.3666,37.4339
2025-02-13,2025,2,Euro (EUR),37.5557,37.6234
2025-02-14,2025,2,Euro (EUR),37.7997,37.8678
2025-02-17,2025,2,Euro (EUR),37.8966,37.9649
2025-02-18,2025,2,Euro (EUR),37.8678,37.936
2025-02-19,2025,2,Euro (EUR),37.812,37.8801
2025-02-20,2025,2,Euro (EUR),37.8218,37.89
2025-02-21,2025,2,Euro (EUR),38.0381,38.1067
2025-02-24,2025,2,Euro (EUR),38.1135,38.1822
2025-02-25,2025,2,Euro (EUR),38.1144,38.183
2025-02-26,2025,2,Euro (EUR),38.1763,38.2451
2025-02-27,2025,2,Euro (EUR),38.104,38.1727
2025-02-28,2025,2,Euro (EUR),37.8234,37.8915
2025-03-03,2025,3,Euro (EUR),37.9507,38.0191
2025-03-04,2025,3,Euro (EUR),38.2606,38.3295
2025-03-05,2025,3,Euro (EUR),38.8476,38.9176
2025-03-06,2025,3,Euro (EUR),39.2821,39.3528
2025-03-07,2025,3,Euro (EUR),39.387,39.458
2025-03-10,2025,3,Euro (EUR),39.5144,39.5856
2025-03-11,2025,3,Euro (EUR),39.7755,39.8471
2025-03-12,2025,3,Euro (EUR),39.8506,39.9224
2025-03-13,2025,3,Euro (EUR),39.7179,39.7895
2025-03-14,2025,3,Euro (EUR),39.6843,39.7558
2025-03-17,2025,3,Euro (EUR),39.8766,39.9484
2025-03-18,2025,3,Euro (EUR),40.0133,40.0854
2025-03-19,2025,3,Euro (EUR),41.4214,41.496
2025-03-20,2025,3,Euro (EUR),41.1915,41.2657
2025-03-21,2025,3,Euro (EUR),41.0195,41.0934
2025-03-24,2025,3,Euro (EUR),41.04,41.1139
2025-03-25,2025,3,Euro (EUR),40.9489,41.0227
2025-03-26,2025,3,Euro (EUR),40.9326,41.0064
2025-03-27,2025,3,Euro (EUR),40.874,40.9476
2025-03-28,2025,3,Euro (EUR),40.7019,40.7753
2025-04-02,2025,4,Euro (EUR),40.8746,40.9482
2025-04-03,2025,4,Euro (EUR),41.74,41.8152
2025-04-04,2025,4,Euro (EUR),41.7115,41.7867
2025-04-07,2025,4,Euro (EUR),41.6552,41.7303
2025-04-08,2025,4,Euro (EUR),41.4822,41.5569
2025-04-09,2025,4,Euro (EUR),41.871,41.9465
2025-04-10,2025,4,Euro (EUR),41.8133,41.8886
2025-04-11,2025,4,Euro (EUR),43.0405,43.1181
2025-04-14,2025,4,Euro (EUR),43.2496,43.3275
2025-04-15,2025,4,Euro (EUR),43.101,43.1786
2025-04-16,2025,4,Euro (EUR),43.2457,43.3237
2025-04-17,2025,4,Euro (EUR),43.2644,43.3424
2025-04-18,2025,4,Euro (EUR),43.2143,43.2922
2025-04-21,2025,4,Euro (EUR),43.9857,44.065
2025-04-22,2025,4,Euro (EUR),43.8343,43.9133
2025-04-24,2025,4,Euro (EUR),43.485,43.5633
2025-04-25,2025,4,Euro (EUR),43.4132,43.4914
2025-04-28,2025,4,Euro (EUR),43.5309,43.6093
2025-04-29,2025,4,Euro (EUR),43.6858,43.7645
2025-04-30,2025,4,Euro (EUR),43.6361,43.7147
2025-05-02,2025,5,Euro (EUR),43.496,43.5744
2025-05-05,2025,5,Euro (EUR),43.6421,43.7207
2025-05-06,2025,5,Euro (EUR),43.6354,43.714
2025-05-07,2025,5,Euro (EUR),43.809,43.8879
2025-05-08,2025,5,Euro (EUR),43.5242,43.6027
2025-05-09,2025,5,Euro (EUR),43.3914,43.4696
2025-05-12,2025,5,Euro (EUR),43.0404,43.1179
2025-05-13,2025,5,Euro (EUR),43.0087,43.0862
2025-05-14,2025,5,Euro (EUR),43.4288,43.507
2025-05-15,2025,5,Euro (EUR),43.2847,43.3626
2025-05-16,2025,5,Euro (EUR),43.2309,43.3087
2025-05-20,2025,5,Euro (EUR),43.6422,43.7208
2025-05-21,2025,5,Euro (EUR),43.9134,43.9925
2025-05-22,2025,5,Euro (EUR),43.8666,43.9456
2025-05-23,2025,5,Euro (EUR),44.0028,44.082
2025-05-26,2025,5,Euro (EUR),44.2855,44.3653
2025-05-27,2025,5,Euro (EUR),44.1526,44.2322
2025-05-28,2025,5,Euro (EUR),44.1399,44.2194
2025-05-29,2025,5,Euro (EUR),43.9996,44.0789
2025-05-30,2025,5,Euro (EUR),44.2706,44.3503
2025-06-02,2025,6,Euro (EUR),44.6554,44.7358
2025-06-03,2025,6,Euro (EUR),44.5878,44.6681
2025-06-04,2025,6,Euro (EUR),44.4673,44.5474
2025-06-10,2025,6,Euro (EUR),44.6599,44.7404
2025-06-11,2025,6,Euro (EUR),44.7047,44.7853
2025-06-12,2025,6,Euro (EUR),45.3249,45.4066
2025-06-13,2025,6,Euro (EUR),45.2384,45.3199
2025-06-16,2025,6,Euro (EUR),45.5225,45.6046
2025-06-17,2025,6,Euro (EUR),45.4312,45.513
2025-06-18,2025,6,Euro (EUR),45.357,45.4387
2025-06-19,2025,6,Euro (EUR),45.2939,45.3755
2025-06-20,2025,6,Euro (EUR),45.5548,45.6369
2025-06-23,2025,6,Euro (EUR),45.526,45.608
2025-06-24,2025,6,Euro (EUR),45.8819,45.9646
2025-06-25,2025,6,Euro (EUR),45.9946,46.0775
2025-06-26,2025,6,Euro (EUR),46.4941,46.5778
2025-06-27,2025,6,Euro (EUR),46.5526,46.6364
2025-06-30,2025,6,Euro (EUR),46.6074,46.6913
2025-07-01,2025,7,Euro (EUR),46.9375,47.0221
2025-07-02,2025,7,Euro (EUR),46.7606,46.8448
2025-07-03,2025,7,Euro (EUR),46.8004,46.8847
2025-07-04,2025,7,Euro (EUR),46.7222,46.8064
2025-07-07,2025,7,Euro (EUR),46.8302,46.9146
2025-07-08,2025,7,Euro (EUR),46.8836,46.9681
2025-07-09,2025,7,Euro (EUR),46.7923,46.8766
2025-07-10,2025,7,Euro (EUR),46.8833,46.9678
2025-07-11,2025,7,Euro (EUR),46.7575,46.8417
2025-07-14,2025,7,Euro (EUR),46.8415,46.9259
2025-07-16,2025,7,Euro (EUR),46.6624,46.7464
2025-07-17,2025,7,Euro (EUR),46.5844,46.6683
2025-07-18,2025,7,Euro (EUR),46.7999,46.8842
2025-07-21,2025,7,Euro (EUR),46.9527,47.0373
2025-07-22,2025,7,Euro (EUR),47.1822,47.2672
2025-07-23,2025,7,Euro (EUR),47.3692,47.4545
2025-07-24,2025,7,Euro (EUR),47.4843,47.5698
2025-07-25,2025,7,Euro (EUR),47.4217,47.5072
2025-07-28,2025,7,Euro (EUR),47.2531,47.3382
2025-07-29,2025,7,Euro (EUR),46.8015,46.8858
2025-07-30,2025,7,Euro (EUR),46.7684,46.8526
2025-07-31,2025,7,Euro (EUR),46.374,46.4576
2025-08-01,2025,8,Euro (EUR),46.2407,46.324
2025-08-04,2025,8,Euro (EUR),46.9544,47.039
2025-08-05,2025,8,Euro (EUR),46.8689,46.9533
2025-08-06,2025,8,Euro (EUR),47.0414,47.1262
2025-08-07,2025,8,Euro (EUR),47.3672,47.4525
2025-08-08,2025,8,Euro (EUR),47.2245,47.3096
2025-08-11,2025,8,Euro (EUR),47.326,47.4113
2025-08-12,2025,8,Euro (EUR),47.1846,47.2696
2025-08-13,2025,8,Euro (EUR),47.6222,47.708
2025-08-14,2025,8,Euro (EUR),47.5612,47.6468
2025-08-15,2025,8,Euro (EUR),47.5864,47.6721
2025-08-18,2025,8,Euro (EUR),47.6755,47.7614
2025-08-19,2025,8,Euro (EUR),47.6745,47.7604
2025-08-20,2025,8,Euro (EUR),47.5457,47.6314
2025-08-21,2025,8,Euro (EUR),47.5904,47.6762
2025-08-22,2025,8,Euro (EUR),47.3729,47.4582
2025-08-25,2025,8,Euro (EUR),47.8773,47.9636
2025-08-26,2025,8,Euro (EUR),47.6318,47.7176
2025-08-27,2025,8,Euro (EUR),47.4965,47.5821
2025-08-28,2025,8,Euro (EUR),47.7444,47.8304
2025-08-29,2025,8,Euro (EUR),47.7841,47.8702
2025-09-01,2025,9,Euro (EUR),48.1101,48.1967
2025-09-02,2025,9,Euro (EUR),47.8603,47.9465
2025-09-03,2025,9,Euro (EUR),47.8487,47.9349
2025-09-04,2025,9,Euro (EUR),47.8704,47.9567
2025-09-05,2025,9,Euro (EUR),48.0133,48.0998
2025-09-08,2025,9,Euro (EUR),48.2995,48.3865
2025-09-09,2025,9,Euro (EUR),48.4281,48.5154
2025-09-10,2025,9,Euro (EUR),48.2165,48.3034
2025-09-11,2025,9,Euro (EUR),48.1672,48.2539
2025-09-15,2025,9,Euro (EUR),48.444,48.5313
2025-09-16,2025,9,Euro (EUR),48.6615,48.7491
2025-09-17,2025,9,Euro (EUR),48.8181,48.906
2025-09-18,2025,9,Euro (EUR),48.7706,48.8584
2025-09-19,2025,9,Euro (EUR),48.4889,48.5762
2025-09-22,2025,9,Euro (EUR),48.582,48.6695
2025-09-23,2025,9,Euro (EUR),48.7644,48.8523
2025-09-24,2025,9,Euro (EUR),48.6935,48.7812
2025-09-25,2025,9,Euro (EUR),48.607,48.6946
2025-09-26,2025,9,Euro (EUR),48.3509,48.438
2025-09-29,2025,9,Euro (EUR),48.6479,48.7355
2025-09-30,2025,9,Euro (EUR),48.7512,48.839
2025-10-01,2025,10,Euro (EUR),48.7508,48.8386
2025-10-02,2025,10,Euro (EUR),48.7985,48.8864
2025-10-03,2025,10,Euro (EUR),48.7205,48.8083
2025-10-06,2025,10,Euro (EUR),48.58,48.6676
2025-10-07,2025,10,Euro (EUR),48.5809,48.6684
2025-10-08,2025,10,Euro (EUR),48.3879,48.4751
2025-10-09,2025,10,Euro (EUR),48.3704,48.4575
