,Tarih,Yıl,Ay,Alış (Forex),Satış (Forex),Gun,Haftalik_Ortalama,Onceki_Gun_Fiyat
71,2021-03-25,2021,3,9.3778,9.3947,25,9.141814285714286,9.4257
72,2021-03-26,2021,3,9.415,9.4319,26,9.211928571428572,9.3778
73,2021-03-29,2021,3,9.5618,9.579,29,9.304857142857143,9.415
74,2021-03-30,2021,3,9.7741,9.7917,30,9.4645,9.5618
75,2021-03-31,2021,3,9.7688,9.7864,31,9.5162,9.7741
76,2021-04-01,2021,4,9.5898,9.6071,1,9.559,9.7688
77,2021-04-02,2021,4,9.4646,9.4816,2,9.564557142857144,9.5898
78,2021-04-05,2021,4,9.5622,9.5794,5,9.590900000000001,9.4646
79,2021-04-06,2021,4,9.6191,9.6364,6,9.620057142857144,9.5622
80,2021-04-07,2021,4,9.7075,9.725,7,9.640871428571428,9.6191
81,2021-04-08,2021,4,9.6808,9.6982,8,9.627542857142856,9.7075
82,2021-04-09,2021,4,9.6777,9.6951,9,9.61452857142857,9.6808
83,2021-04-12,2021,4,9.7149,9.7324,12,9.6324,9.6777
84,2021-04-13,2021,4,9.6805,9.6979,13,9.663242857142858,9.7149
85,2021-04-14,2021,4,9.6558,9.6732,14,9.676614285714285,9.6805
86,2021-04-15,2021,4,9.647,9.6644,15,9.6806,9.6558
87,2021-04-16,2021,4,9.6524,9.6698,16,9.67272857142857,9.647
88,2021-04-19,2021,4,9.6802,9.6977,19,9.672642857142858,9.6524
89,2021-04-20,2021,4,9.7718,9.7894,20,9.686085714285714,9.6802
90,2021-04-21,2021,4,9.7816,9.7992,21,9.695614285714285,9.7718
91,2021-04-22,2021,4,9.9576,9.9755,22,9.7352,9.7816
92,2021-04-26,2021,4,10.0735,10.0916,26,9.794871428571428,9.9576
93,2021-04-27,2021,4,9.9371,9.955,27,9.836314285714284,10.0735
94,2021-04-28,2021,4,9.8799,9.8977,28,9.868814285714285,9.9371
95,2021-04-29,2021,4,9.909,9.9269,29,9.901499999999999,9.8799
96,2021-04-30,2021,4,9.9545,9.9724,30,9.9276,9.909
97,2021-05-03,2021,5,9.9885,10.0065,3,9.957157142857142,9.9545
98,2021-05-04,2021,5,9.9837,10.0017,4,9.960885714285714,9.9885
99,2021-05-05,2021,5,10.0109,10.029,5,9.951942857142857,9.9837
100,2021-05-06,2021,5,9.9979,10.0159,6,9.960628571428572,10.0109
101,2021-05-07,2021,5,9.9879,10.0059,7,9.976057142857144,9.9979
102,2021-05-10,2021,5,10.0284,10.0465,10,9.993114285714285,9.9879
103,2021-05-11,2021,5,10.0727,10.0909,11,10.01,10.0284
104,2021-05-17,2021,5,10.1403,10.1586,17,10.031685714285715,10.0727
105,2021-05-18,2021,5,10.1667,10.185,18,10.057828571428571,10.1403
106,2021-05-20,2021,5,10.2043,10.2226,20,10.085457142857143,10.1667
107,2021-05-21,2021,5,10.2072,10.2256,21,10.115357142857144,10.2043
108,2021-05-24,2021,5,10.2278,10.2462,24,10.149628571428574,10.2072
109,2021-05-25,2021,5,10.2861,10.3046,25,10.186442857142856,10.2278
110,2021-05-26,2021,5,10.3227,10.3413,26,10.222157142857142,10.2861
111,2021-05-27,2021,5,10.2849,10.3035,27,10.242814285714287,10.3227
112,2021-05-28,2021,5,10.4147,10.4334,28,10.278242857142857,10.2849
113,2021-05-31,2021,5,10.3629,10.3816,31,10.3009,10.4147
114,2021-06-01,2021,6,10.3998,10.4185,1,10.328414285714286,10.3629
115,2021-06-02,2021,6,10.4895,10.5084,2,10.365799999999998,10.3998
116,2021-06-03,2021,6,10.5091,10.528,3,10.397657142857144,10.4895
117,2021-06-04,2021,6,10.516,10.535,4,10.42527142857143,10.5091
118,2021-06-07,2021,6,10.4825,10.5014,7,10.4535,10.516
119,2021-06-08,2021,6,10.4585,10.4773,8,10.459757142857143,10.4825
120,2021-06-09,2021,6,10.4515,10.4703,9,10.472414285714285,10.4585
121,2021-06-10,2021,6,10.3808,10.3995,10,10.4697,10.4515
122,2021-06-11,2021,6,10.1615,10.1798,11,10.422842857142857,10.3808
123,2021-06-14,2021,6,10.0998,10.118,14,10.36437142857143,10.1615
124,2021-06-15,2021,6,10.3646,10.3833,15,10.342742857142856,10.0998
125,2021-06-16,2021,6,10.3327,10.3513,16,10.321342857142858,10.3646
126,2021-06-17,2021,6,10.3072,10.3258,17,10.299728571428572,10.3327
127,2021-06-18,2021,6,10.3197,10.3383,18,10.2809,10.3072
128,2021-06-21,2021,6,10.4032,10.422,21,10.284099999999999,10.3197
129,2021-06-22,2021,6,10.3722,10.3909,22,10.3142,10.4032
130,2021-06-23,2021,6,10.2828,10.3013,23,10.340342857142858,10.3722
131,2021-06-24,2021,6,10.3356,10.3542,24,10.336200000000002,10.2828
132,2021-06-25,2021,6,10.3646,10.3833,25,10.340757142857143,10.3356
133,2021-06-28,2021,6,10.4077,10.4265,28,10.355114285714285,10.3646
134,2021-06-29,2021,6,10.3645,10.3832,29,10.361514285714284,10.4077
135,2021-06-30,2021,6,10.3249,10.3435,30,10.350328571428573,10.3645
136,2021-07-01,2021,7,10.2889,10.3074,1,10.33842857142857,10.3249
137,2021-07-02,2021,7,10.2657,10.2841,2,10.335985714285714,10.2889
138,2021-07-05,2021,7,10.287,10.3055,5,10.329042857142857,10.2657
139,2021-07-06,2021,7,10.2562,10.2747,6,10.313557142857144,10.287
140,2021-07-07,2021,7,10.2469,10.2653,7,10.290585714285713,10.2562
141,2021-07-08,2021,7,10.2721,10.2906,8,10.277385714285714,10.2469
142,2021-07-09,2021,7,10.2712,10.2897,9,10.269714285714286,10.2721
143,2021-07-12,2021,7,10.2354,10.2538,12,10.26207142857143,10.2712
144,2021-07-13,2021,7,10.1926,10.211,13,10.251628571428572,10.2354
145,2021-07-14,2021,7,10.156,10.1743,14,10.232914285714287,10.1926
146,2021-07-16,2021,7,10.0483,10.0664,16,10.203214285714285,10.156
147,2021-07-26,2021,7,10.105,10.1232,26,10.182942857142857,10.0483
148,2021-07-27,2021,7,10.0896,10.1077,27,10.15687142857143,10.105
149,2021-07-28,2021,7,10.0929,10.1111,28,10.1314,10.0896
150,2021-07-29,2021,7,10.0862,10.1043,29,10.110085714285715,10.0929
151,2021-07-30,2021,7,10.0084,10.0264,30,10.083771428571428,10.0862
152,2021-08-02,2021,8,9.9677,9.9857,2,10.056871428571428,10.0084
153,2021-08-03,2021,8,9.8906,9.9084,3,10.034342857142859,9.9677
154,2021-08-04,2021,8,9.9891,10.0071,4,10.017785714285713,9.8906
155,2021-08-05,2021,8,10.0976,10.1158,5,10.018928571428571,9.9891
156,2021-08-06,2021,8,10.1149,10.1331,6,10.022071428571428,10.0976
157,2021-08-09,2021,8,10.1622,10.1805,9,10.032928571428572,10.1149
158,2021-08-10,2021,8,10.1112,10.1294,10,10.047614285714287,10.1622
159,2021-08-11,2021,8,10.1014,10.1195,11,10.066714285714285,10.1112
160,2021-08-12,2021,8,10.064,10.0821,12,10.091485714285714,10.1014
161,2021-08-13,2021,8,10.0251,10.0431,13,10.096628571428571,10.064
162,2021-08-16,2021,8,9.9762,9.9941,16,10.079285714285714,10.0251
163,2021-08-17,2021,8,9.9022,9.9201,17,10.0489,9.9762
164,2021-08-18,2021,8,9.9174,9.9353,18,10.01392857142857,9.9022
165,2021-08-19,2021,8,9.9491,9.967,19,9.99077142857143,9.9174
166,2021-08-20,2021,8,9.9551,9.973,20,9.969871428571428,9.9491
167,2021-08-23,2021,8,9.9144,9.9323,23,9.9485,9.9551
168,2021-08-24,2021,8,9.8728,9.8906,24,9.926742857142857,9.9144
169,2021-08-25,2021,8,9.8404,9.8581,25,9.907342857142856,9.8728
170,2021-08-26,2021,8,9.8352,9.8529,26,9.89777142857143,9.8404
171,2021-08-27,2021,8,9.8494,9.8671,27,9.888057142857141,9.8352
172,2021-08-31,2021,8,9.8228,9.8405,31,9.870014285714285,9.8494
173,2021-09-01,2021,9,9.791,9.8086,1,9.846571428571428,9.8228
174,2021-09-02,2021,9,9.7911,9.8087,2,9.828957142857144,9.791
175,2021-09-03,2021,9,9.8492,9.8669,3,9.825585714285713,9.7911
176,2021-09-06,2021,9,9.8199,9.8376,6,9.822657142857143,9.8492
177,2021-09-07,2021,9,9.8506,9.8684,7,9.824857142857143,9.8199
178,2021-09-08,2021,9,9.9394,9.9573,8,9.837714285714286,9.8506
179,2021-09-09,2021,9,10.0142,10.0322,9,9.865057142857141,9.9394
180,2021-09-10,2021,9,9.9478,9.9658,10,9.887457142857143,10.0142
181,2021-09-13,2021,9,9.9496,9.9675,13,9.9101,9.9478
182,2021-09-14,2021,9,9.9615,9.9795,14,9.926142857142858,9.9496
183,2021-09-15,2021,9,9.9616,9.9796,15,9.946385714285714,9.9615
184,2021-09-16,2021,9,9.9382,9.9561,16,9.9589,9.9616
185,2021-09-17,2021,9,10.0921,10.1103,17,9.980714285714287,9.9382
186,2021-09-20,2021,9,10.1467,10.165,20,9.999642857142858,10.0921
187,2021-09-21,2021,9,10.1272,10.1454,21,10.025271428571429,10.1467
188,2021-09-22,2021,9,10.1291,10.1473,22,10.050914285714285,10.1272
189,2021-09-23,2021,9,10.1456,10.1639,23,10.077214285714287,10.1291
190,2021-09-24,2021,9,10.3526,10.3712,24,10.133071428571428,10.1456
191,2021-09-27,2021,9,10.3364,10.355,27,10.189957142857143,10.3526
192,2021-09-28,2021,9,10.3486,10.3672,28,10.226600000000001,10.3364
193,2021-09-29,2021,9,10.3135,10.3321,29,10.250428571428571,10.3486
194,2021-09-30,2021,9,10.2933,10.3118,30,10.274157142857144,10.3135
195,2021-10-01,2021,10,10.2484,10.2669,1,10.2912,10.2933
196,2021-10-04,2021,10,10.2822,10.3008,4,10.310714285714285,10.2484
197,2021-10-05,2021,10,10.2583,10.2768,5,10.297242857142857,10.2822
198,2021-10-06,2021,10,10.2876,10.3062,6,10.290271428571428,10.2583
199,2021-10-07,2021,10,10.2469,10.2654,7,10.275742857142857,10.2876
200,2021-10-08,2021,10,10.2832,10.3018,8,10.271414285714286,10.2469
201,2021-10-11,2021,10,10.3398,10.3584,11,10.278057142857142,10.2832
202,2021-10-12,2021,10,10.4026,10.4213,12,10.300085714285714,10.3398
203,2021-10-13,2021,10,10.4268,10.4455,13,10.320742857142857,10.4026
204,2021-10-14,2021,10,10.612,10.6311,14,10.37127142857143,10.4268
205,2021-10-15,2021,10,10.6785,10.6978,15,10.427114285714286,10.612
206,2021-10-18,2021,10,10.7375,10.7568,18,10.497200000000001,10.6785
207,2021-10-19,2021,10,10.8237,10.8432,19,10.574414285714285,10.7375
208,2021-10-20,2021,10,10.8308,10.8503,20,10.644557142857142,10.8237
209,2021-10-21,2021,10,10.8108,10.8303,21,10.702871428571429,10.8308
210,2021-10-22,2021,10,11.1566,11.1767,22,10.807128571428573,10.8108
211,2021-10-25,2021,10,11.3283,11.3487,25,10.909457142857141,11.1566
212,2021-10-26,2021,10,10.9812,11.001,26,10.952699999999998,11.3283
213,2021-10-27,2021,10,10.998,11.0179,27,10.989914285714287,10.9812
214,2021-11-01,2021,11,11.0216,11.0415,1,11.018185714285712,10.998
215,2021-11-02,2021,11,11.0413,11.0612,2,11.048257142857143,11.0216
216,2021-11-03,2021,11,11.1892,11.2094,3,11.102314285714286,11.0413
